ds,y
2009-12-01,21326
2009-12-02,26360
2009-12-03,40346
2009-12-04,16862
2009-12-05,4097
2009-12-06,9673
2009-12-07,15083
2009-12-08,19639
2009-12-09,14952
2009-12-10,19059
2009-12-11,14623
2009-12-13,9891
2009-12-14,38609
2009-12-15,22290
2009-12-16,18958
2009-12-17,12193
2009-12-18,14151
2009-12-20,5088
2009-12-21,7899
2009-12-22,15554
2009-12-23,3860
2010-01-04,5192
2010-01-05,9389
2010-01-06,6822
2010-01-07,35818
2010-01-08,8511
2010-01-10,11352
2010-01-11,10914
2010-01-12,18901
2010-01-13,6706
2010-01-14,10624
2010-01-15,6264
2010-01-17,6492
2010-01-18,8040
2010-01-19,12411
2010-01-20,9266
2010-01-21,64903
2010-01-22,15064
2010-01-24,7402
2010-01-25,8001
2010-01-26,19848
2010-01-27,13162
2010-01-28,9620
2010-01-29,8706
2010-01-31,9339
2010-02-01,7430
2010-02-02,9055
2010-02-03,8651
2010-02-04,9969
2010-02-05,7980
2010-02-07,10461
2010-02-08,7311
2010-02-09,9290
2010-02-10,2990
2010-02-11,7842
2010-02-12,7030
2010-02-14,9383
2010-02-15,77274
2010-02-16,13655
2010-02-17,23011
2010-02-18,21841
2010-02-19,11020
2010-02-21,4977
2010-02-22,11850
2010-02-23,9852
2010-02-24,19081
2010-02-25,22754
2010-02-26,9480
2010-02-28,7203
2010-03-01,16274
2010-03-02,9784
2010-03-03,16098
2010-03-04,15311
2010-03-05,12240
2010-03-07,8636
2010-03-08,12758
2010-03-09,9423
2010-03-10,15537
2010-03-11,13233
2010-03-12,10190
2010-03-14,4430
2010-03-15,13015
2010-03-16,11206
2010-03-17,76617
2010-03-18,20015
2010-03-19,11414
2010-03-21,10002
2010-03-22,10833
2010-03-23,52292
2010-03-24,13199
2010-03-25,14385
2010-03-26,16803
2010-03-28,13050
2010-03-29,20951
2010-03-30,16052
2010-03-31,11889
2010-04-01,15328
2010-04-06,11675
2010-04-07,20694
2010-04-08,22963
2010-04-09,8204
2010-04-11,9753
2010-04-12,10611
2010-04-13,24610
2010-04-14,13767
2010-04-15,9910
2010-04-16,13929
2010-04-18,11287
2010-04-19,17146
2010-04-20,11357
2010-04-21,11876
2010-04-22,19485
2010-04-23,8548
2010-04-25,7448
2010-04-26,16462
2010-04-27,20697
2010-04-28,16251
2010-04-29,14305
2010-04-30,20056
2010-05-02,5485
2010-05-04,9474
2010-05-05,12818
2010-05-06,28111
2010-05-07,22155
2010-05-09,10644
2010-05-10,23775
2010-05-11,16272
2010-05-12,19489
2010-05-13,24589
2010-05-14,9672
2010-05-16,9653
2010-05-17,14654
2010-05-18,23162
2010-05-19,7967
2010-05-20,14487
2010-05-21,8804
2010-05-23,13051
2010-05-24,29230
2010-05-25,13604
2010-05-26,16386
2010-05-27,15822
2010-05-28,11743
2010-05-30,5649
2010-06-01,7293
2010-06-02,9692
2010-06-03,15845
2010-06-04,6259
2010-06-06,12362
2010-06-07,26838
2010-06-08,19411
2010-06-09,22967
2010-06-10,8605
2010-06-11,18214
2010-06-13,9339
2010-06-14,14733
2010-06-15,19151
2010-06-16,17255
2010-06-17,12023
2010-06-18,8170
2010-06-20,3738
2010-06-21,9960
